Name		Cost									
Singular	Plural	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Fight Value	AI Value	Growth
Pikenier	Pikeniere	0	0	0	0	0	0	60	100	80	14
Hellebardenträger	Hellebardenträger	0	0	0	0	0	0	75	115	115	14
Bogenschütze	Bogenschützen	0	0	0	0	0	0	100	115	126	9
Scharfschütze	Scharfschützen	0	0	0	0	0	0	150	115	184	9
Greif	Greife	0	0	0	0	0	0	200	324	351	7
Königsgreif	Königsgreife	0	0	0	0	0	0	240	364	448	7
Schwertkämpfer	Schwertkämpfer	0	0	0	0	0	0	300	445	445	4
Kreuzritter	Kreuzritter	0	0	0	0	0	0	400	588	588	4
Mönch	Mönche	0	0	0	0	0	0	400	485	582	3
Zelot	Zeloten	0	0	0	0	0	0	450	500	750	3
Kavallerist	Kavalleristen	0	0	0	0	0	0	1000	1668	1946	2
Kämpe	Kämpen	0	0	0	0	0	0	1200	1800	2100	2
Engel	Engel	0	0	0	0	0	1	3000	3585	5019	1
Erzengel	Erzengel	0	0	0	0	0	3	5000	6033	8776	1
											
											
											
Zentaur	Zentauren	0	0	0	0	0	0	70	100	100	14
Zentaurenführer	Zentaurenführer	0	0	0	0	0	0	90	115	138	14
Zwerg	Zwerge	0	0	0	0	0	0	120	194	138	8
Kampfzwerg	Kampfzwerge	0	0	0	0	0	0	150	209	209	8
Waldelf	Waldelfen	0	0	0	0	0	0	200	195	234	7
Großelf	Großelfen	0	0	0	0	0	0	225	195	331	7
Pegasus	Pegasi	0	0	0	0	0	0	250	407	518	5
Silberpegasus	Silberpegasi	0	0	0	0	0	0	275	418	532	5
Dendroidenwache	Dendroidenwachen	0	0	0	0	0	0	350	690	517	3
Dendroidensoldat	Dendroidensoldaten	0	0	0	0	0	0	425	765	803	3
Einhorn	Einhörner	0	0	0	0	0	0	850	1548	1806	2
Kriegseinhorn	Kriegseinhörner	0	0	0	0	0	0	950	1740	2030	2
Grüner Drache	Grüne Drachen	0	0	0	0	1	0	2400	3654	4872	1
Goldener Drache	Goldene Drachen	0	0	0	0	2	0	4000	6220	8613	1
											
											
											
Gremlin	Gremlins	0	0	0	0	0	0	30	55	44	16
Meistergremlin	Meistergremlins	0	0	0	0	0	0	40	55	66	16
Stein-Wasserspeier	Stein-Wasserspeier	0	0	0	0	0	0	130	150	165	9
Obsidian-Wasserspeier	Obsidian-Wasserspeier	0	0	0	0	0	0	160	155	201	9
Steingolem	Steingolems	0	0	0	0	0	0	150	339	250	6
Eisengolem	Eisengolems	0	0	0	0	0	0	200	412	412	6
Magier	Magier	0	0	0	0	0	0	350	418	570	4
Erzmagier	Erzmagier	0	0	0	0	0	0	450	467	680	4
Dschinn	Dschinns	0	0	0	0	0	0	550	680	884	3
Meisterdschinn	Meisterdschinns	0	0	0	0	0	0	600	748	942	3
Naga	Nagas	0	0	0	0	0	0	1100	2016	2016	2
Nagakönigin	Nagaköniginnen	0	0	0	0	0	0	1600	2485	2840	2
Gigant	Giganten	0	0	0	0	0	1	2000	3146	3718	1
Titan	Titanen	0	0	0	0	0	2	5000	5000	7500	1
                                   											
											
											
Imp	Imps	0	0	0	0	0	0	50	50	50	15
Vertrauter	Vertraute	0	0	0	0	0	0	60	60	60	15
Gog	Gogs	0	0	0	0	0	0	125	145	159	8
Magog	Magogs	0	0	0	0	0	0	175	210	240	8
Höllenhund	Höllenhunde	0	0	0	0	0	0	200	275	357	5
Zerberus	Zerberi	0	0	0	0	0	0	250	308	392	5
Dämon	Dämonen	0	0	0	0	0	0	250	445	445	4
Gehörnter Dämon	Gehörnte Dämonen	0	0	0	0	0	0	270	480	480	4
Grottenteufel	Grottenteufel	0	0	0	0	0	0	500	765	765	3
Grottenlord	Grottenlords	0	0	0	0	0	0	700	1071	1224	3
Efreet	Efreet	0	0	0	0	0	0	900	1413	1670	2
Efreetsultan	Efreetsultane	0	0	0	0	0	0	1100	1584	1848	2
Teufel	Teufel	0	1	0	0	0	0	2700	3759	5101	1
Erzteufel	Erzteufel	0	2	0	0	0	0	4500	5243	7115	1
											
											
											
Skelett	Skelette	0	0	0	0	0	0	60	75	60	12
Skelettkrieger	Skelettkrieger	0	0	0	0	0	0	70	85	85	12
Wandelnder Toter	Wandelnde Tote	0	0	0	0	0	0	100	140	98	8
Zombie	Zombies	0	0	0	0	0	0	125	160	128	8
Geist	Geister	0	0	0	0	0	0	200	231	252	7
Gespenst	Gespenster	0	0	0	0	0	0	230	252	315	7
Vampir	Vampire	0	0	0	0	0	0	360	518	555	4
Vampirlord	Vampirlords	0	0	0	0	0	0	500	652	783	4
Lich	Liche	0	0	0	0	0	0	550	742	848	3
Todes-Lich	Todes-Liche	0	0	0	0	0	0	600	889	1079	3
Schwarzer Ritter	Schwarze Ritter	0	0	0	0	0	0	1200	1753	2087	2
Schattenritter	Schattenritter	0	0	0	0	0	0	1500	2029	2382	2
