Region Name	Campaign Name	Scenario Name	Map Area Name
"{Southport}

Königin Catherine ist abgereist, um bei König Gavin Magnus von Bracada um militärische Unterstützung zu bitten. Andere Generäle sind in der Region verstreut. Baut eine Operationsbasis auf, versammelt das örtliche Militär und findet den Umfang der Besetzung durch Nighon und ihre Invasionsroute heraus."	Good1	G1a	Map Area 1
"{Angelgate}

Berichte über Engel in der Nähe der Stadt Fair Feather verlangen nach weiterer Überprüfung. Falls die Gerüchte wahr sind, müssen wir die Sicherheit der Stadt garantieren und vielleicht die Engel davon überzeugen, sich mit uns zu verbünden."	Good1	G1b	Map Area 2
"{Gryphon Cliff}

Die Region um das Gryphon Cliff, dem jährlichen Brutplatz, aus der fast die gesamte Greifenpopulation Erathias stammt, ist zur Zeit unter der Kontrolle der gemeinsamen Armeen von Nighon und der Kreeganer. Vor Generationen waren die Greifen der Schlüssel zum Aufbau Erathias und nun sind sie der Schlüssel zur Wiedererlangung."	Good1	G1c	Map Area 3
"{Battlestead}

Der erste Schritt in unserem Kampf für die Befreiung Erathias ist es, die Hauptstadt Steadwick von der Besetzung der Nighon zu befreien. Das wird nicht leicht werden, da die Dungeon-Overlords die Bergpässe ins Steadwicktal besetzt haben."	Good2	G2a	Map Area 1
"{Eeofol}

Ein Brief von Luzifer Kreegan III., dem Lord Oberbefehlshaber von Eeofol, erreicht Königin Catherine in ihrem Palast. Er behauptet darin, dass er Catherines Ehemann Roland Ironfist von Enroth gefangen hält und dass nur ein Lösegeld von einer Million Goldstücken ihn retten kann."	Good2	G2b	Map Area 2
"{Marshland und Hillbridge}

Ein Botschafter aus Bracada bringt eine Nachricht seines Anführers Gavin Magnus, der seine Hilfe bei der Rückeroberung Westerathias von den maraudierenden tatalianischen und krewlischen Truppen anbietet. Es ist Zeit, Eure Nachbarn daran zu erinnern, wo ihre Grenzen liegen."	Good2	G2c	Map Area 3
"{Grainrich und Fire Coast}

Wir wissen nun, wie Erathia an Nighon und Eeofol fiel. Sie haben die Meerenge von Nighon untertunnelt und brachen in die Zwergentunnel an der Erathianischen Küste ein. Wir müssen sie zwingen, die Tunnel wieder zu benutzen - diesmal als Fluchtweg, wenn wir sie für immer aus Erathia vertreiben."	Good2	G2d	Map Area 4
"{Marshland}

Euch wird ein Söldnervertrag mit König Tralossk von Tatalia angeboten, der ein für allemal wünscht, dass seine Nation aus etwas anderem als nur Sumpfland bestehen soll. Jetzt da Erathia abgelenkt ist, hat er beschlossen, dass der Augenblick für eine Ausweitung der Tatalianischen Grenzen gekommen ist."	Neutral1	N1a	Map Area 1
"{Minewell}

Herzog Winston Boragus, der Anführer von Krewlod, bietet Euch einen Söldnervertrag an, nach dem Ihr eine Reihe von Überfällen im Erathianischen Gebiet durchführen sollt. Der Plan ist, genug Gold zu rauben, um den Armeen von Krewlod den Kauf von dem zu ermöglichen, was sie für... andere Dinge brauchen."	Neutral1	N1b	Map Area 2
"{Hillbridge}

Sowohl König Tralossk von Tatalia als auch Herzog Boragus von Krewlod wollen Euch in ihren Dienst nehmen. Beide Länder wollen das letzte Stück Land zwischen ihren beiden Ländern einnehmen. Ironischerweise ist dieses Gebiet beinahe wertlos. Ihr müsst entscheiden, welchem Land Ihr dienen wollt. Die Entscheidung liegt allein bei Euch."	Neutral1	N1c	Map Area 3
