			School				Cost				Effect					% Chance to gain									AI value				Right Click Text				
Name	Abbreviated Name	Level	Earth	Water	Fire	Air	None	Basic	Advanced	Expert	Power 	None	Basic	Advanced	Expert	Castle	Rampart	Tower	Inferno	Necropolis	Dungeon	Stronghold	Fortress	Conflux	None	Basic	Advanced	Expert	Normal	Basic	Advanced	Expert	Attributes (reference only, do not change)
																																	
Adventure Spells																																	
																																	
Boot herbeirufen	Boot herbeirufen	1	 	x	 	 	8	7	7	7	0	50	50	75	100	3	5	5	5	3	5	5	3	3	10	10	20	20	"{Boot herbeirufen}

Ruft ein existierendes, freundliches und unbesetztes Boot von irgendwo auf der Welt zu Eurem Aufenthaltsort.

Erfolgschancen liegen bei 50%.
"	"{Boot herbeirufen einfach}

Ruft ein existierendes, freundliches und unbesetztes Boot von irgendwo auf der Welt zu Eurem Aufenthaltsort.

Erfolgschancen liegen bei 50%.
"	"{Boot herbeirufen verbessert}

Ruft ein existierendes, freundliches und unbesetztes Boot von irgendwo auf der Welt zu Eurem Aufenthaltsort. Wenn kein Boot da ist, wird eines erschaffen.

Erfolgschancen liegen bei 75%.
"	"{Boot herbeirufen Meisterhaft}

Ruft ein existierendes, freundliches und unbesetztes Boot von irgendwo auf der Welt zu Eurem Aufenthaltsort.  Wenn kein Boot da ist, wird eines erschaffen.

"	 ADV_SPELL
Boot versenken	Boot versenken	2	 	x	 	 	8	6	6	6	0	50	50	75	100	6	4	4	4	4	4	4	4	4	1	1	1	1	"{Boot versenken}

Zerstört ein Boot, das Euch gehört. Mit Vorsicht zu benutzen, die Wirkung ist unumkehrbar.

Erfolgschancen liegen bei 50%.
"	"{Boot versenken einfach}

Zerstört ein Boot, das Euch gehört. Mit Vorsicht zu benutzen, die Wirkung ist unumkehrbar.

Erfolgschancen liegen bei 50%.
"	"{Boot versenken verbessert}

Zerstört ein Boot, das Euch gehört. Mit Vorsicht zu benutzen, die Wirkung ist unumkehrbar.

Erfolgschancen liegen bei 75%.
"	"{Boot versenken Meisterhaft}

Zerstört ein Boot, das Euch gehört. Mit Vorsicht zu benutzen, die Wirkung ist unumkehrbar.
"	 ADV_SPELL
Visionen	Visionen	2	x	x	x	x	4	2	2	2	0	1	1	2	3	2	2	2	4	2	2	2	2	2	1	1	1	1	"{Visionen}

Verschafft Euch einen groben Eindruck von der Stärke eines gegnerischen Helden, einer Armee oder einer Garnison.
"	"{Visionen einfach }

Verschafft Euch einen groben Eindruck über die Stärke eines gegnerischen Helden oder einer Garnison. Falls sich wandernde Monster in der Nähe befinden, gibt es die exakte Größe der Truppen an und ob sie bereit wären, sich Eurem Helden anzuschließen.
"	"{ Visionen verbessert}

Verschafft Euch einen groben Eindruck über die Stärke einer gegnerischen Garnison. Falls sich wandernde Monster in der Nähe befinden, gibt es die exakte Größe der Truppen an und ob sie bereit wären, sich Eurem Helden anzuschließen. Ermöglicht die Ansicht der Primärfähigkeitsstatistik, Kreaturenart und -menge eines gegnerischen Helden, als sei er Teil Eures Königreiches.
"	"{Visionen Meisterhaft}

Gibt die exakte Anzahl wandernder Monster an und ob sie bereit wären, sich Eurem Held anzuschließen. Ermöglicht die Ansicht der Primärfähigkeitsstatistik, Kreaturenart und -menge eines gegnerischen Helden in der Nähe, als sei er Teil Eures Königreiches, und zeigt außerdem die Statistik, Garnisonskreaturen und deren Menge in einer Stadt in der Nähe an.
"	 ADV_SPELL
Erdsicht	Erdsicht	1	x				2	1	1	1	0	0	0	0	0	3	3	3	3	3	3	3	3	3	1	1	1	1	"{Erdsicht}

Verrät dem Zaubernden die Lage aller Ressourcen.
"	"{Erdsicht einfach}

Verrät dem Zaubernden die Lage aller Ressourcen.
"	"{Erdsicht verbessert}

Verrät dem Zaubernden die Lage aller Ressourcen und Minen.
"	"{Erdsicht Meisterhaft}

Verrät dem Zaubernden die Lage aller Ressourcen und Minen und zeigt ihm das gesamte Terrain.
"	 ADV_SPELL
Täuschung	Täuschung	2	 	 	 	x	4	2	2	2	0	0	0	0	0	2	2	2	4	2	2	2	0	2	1	1	1	1	"{Täuschung}

Gibt einem Gegner, der versucht, sich Euren Helden anzusehen, falsche Informationen
"	"{Täuschung einfach}

Sorgt dafür, daß alle Einheiten Eurer Armee aussehen wie Eure stärkste Einheit, wenn ein Gegner versucht, sich Euren Helden anzusehen. Die Anzahl in jeder Gruppe bleibt unverändert.
"	"{Täuschung verbessert}

Sorgt dafür, daß alle Einheiten Eurer Armee aussehen wie Eure stärkste Einheit, wenn ein Gegner versucht, sich Euren Helden anzusehen.  Die Anzahlen in jeder Gruppe erscheinen als Null.
"	"{Täuschung Meisterhaft}

Sorgt dafür, daß alle Einheiten Eurer Armee aussehen wie die stärkste Einheit, die mit einem Helden Eures Typs in Verbindung stehen kann, wenn ein Gegner versucht, sich Euren Helden anzusehen. Die Anzahlen in jeder Gruppe erscheinen als Null.
"	 ADV_SPELL
Luftsicht	Luftsicht	1				x	2	1	1	1	0	0	0	0	0	3	3	3	3	3	3	3	3	3	1	1	1	1	"{Luftsicht}

Verrät dem Zaubernden die Lage aller unentdecktenen Artefakte.
"	"{Luftsicht einfach}

Verrät dem Zaubernden die Lage aller unentdecktenen Artefakte.
"	"{Luftsicht verbessert}

Verrät dem Zaubernden die Lage aller unentdecktenen Artefakte und aller gegnerische Helden.
"	"{Luftsicht Meisterhaft}

Verrät dem Zaubernden die Lage aller unentdecktenen Artefakte und aller gegnerischen Helden und Städte.
"	 ADV_SPELL
