	Description		
Name	Basic	Advanced	Expert
Pfadfinden	"{Pfadfinden einfach}

Das einfache Pfadfinden reduziert die Auswirkungen von schwerem Gelände um 25%."	"{Pfadfinden verbessert}

Das verbesserte Pfadfinden reduziert die Auswirkungen von schwerem Gelände um 50%."	"{Pfadfinden meisterhaft}

Das meisterhafte Pfadfinden reduziert die Auswirkungen von schwerem Gelände um 75%."
Bogenschießen	"{Bogenschießen einfach}

Das einfache Bogenschießen erhöht den Schaden, den Fernangriffe der Heldenarmee anrichten, um 10%."	"{Bogenschießen verbessert}

Das verbesserte Bogenschießen erhöht den Schaden, den Fernangriffe der Heldenarmee anrichten, um 25%."	"{Bogenschießen meisterhaft}

Das meisterhafte Bogenschießen erhöht den Schaden, den Fernangriffe der Heldenarmee anrichten, um 50%."
Logistik	"{Logistik einfach}

Die einfache Logistik erhöht die Bewegungspunkte Eures Helden an Land um 10%."	"{Logistik verbessert}

Die verbesserte Logistik erhöht die Bewegungspunkte Eures Helden an Land um 20%."	"{Logistik meisterhaft}

Die meisterhafte Logistik erhöht die Bewegungspunkte Eures Helden an Land um 30%."
Spähen	"{Spähen einfach}

Das einfache Spähen erlaubt Eurem Helden, 1 Feld weiter in die Dunkelheit zu sehen."	"{Spähen verbessert}

Das verbesserte Spähen erlaubt Eurem Helden, 2 Felder weiter in die Dunkelheit zu sehen."	"{Spähen meisterhaft}

Das meisterhafte Spähen erlaubt Eurem Helden, 3 Felder weiter in die Dunkelheit zu sehen."
Diplomatie	"{Diplomatie einfach}

Die einfache Diplomatie erlaubt Euch, mit Monstern zu verhandeln, die schwächer sind als Eure Gruppe, und reduziert die Kapitulationskosten um 20%."	"{Diplomatie verbessert}

Die verbesserte Diplomatie erlaubt Euch, mit Monstern zu verhandeln, die schwächer sind als Eure Gruppe, und reduziert die Kapitulationskosten um 40%."	"{Diplomatie meisterhaft}

Die meisterhafte Diplomatie erlaubt Euch, mit Monstern zu verhandeln, die schwächer sind als Eure Gruppe, und reduziert die Kapitulationskosten um 60%."
Navigation	"{Navigation einfach}

Die einfache Navigation erhöht die Bewegungspunkte Eures Helden auf See um 50%."	"{Navigation verbessert}

Die verbesserte Navigation erhöht die Bewegungspunkte Eures Helden auf See um 100%."	"{Navigation meisterhaft}

Die meisterhafte Navigation erhöht die Bewegungspunkte Eures Helden auf See um 150%."
Führung	"{Führung einfach}

Die einfache Führung erhöht die Moral der Truppen Eures Helden um 1."	"{Führung verbessert}

Die verbesserte Führung erhöht die Moral der Truppen Eures Helden um 2."	"{Führung meisterhaft}

Die meisterhafte Führung erhöht die Moral der Truppen Eures Helden um 3."
Weisheit	"{Weisheit einfach}

Die einfache Weisheit erlaubt Eurem Helden, Zaubersprüche der dritten Stufe zu lernen."	"{Weisheit verbessert}

Die verbesserte Weisheit erlaubt Eurem Helden, Zaubersprüche der vierten Stufe zu lernen."	"{Weisheit meisterhaft}

Die meisterhafte Weisheit erlaubt Eurem Helden, Zaubersprüche der fünften Stufe zu lernen."
Mystik	"{Mystik einfach}

Die einfache Mystik erlaubt Eurem Helden, 2 Zauberpunkte pro Tag zu regenerieren."	"{Mystik verbessert}

Die verbesserte Mystik erlaubt Eurem Helden, 3 Zauberpunkte pro Tag zu regenerieren."	"{Mystik meisterhaft}

Die meisterhafte Mystik erlaubt Eurem Helden,  4 Zauberpunkte pro Tag zu regenerieren."
