	1st Creature Stack			2nd Creature Stack			3rd Creature Stack		
Name	Low	High	Type (reference only)	Low	High	Type (reference only)	Low	High	Type (reference only)
Orrin	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Valeska	4	7	LightCrossbowman	4	7	LightCrossbowman	4	7	LightCrossbowman
Edric	10	20	Pikeman	2	3	Griffin	2	3	Griffin
Sylvia	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Lord Haart	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Sorsha	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Christian	10	20	Pikeman	1	1	Ballista	2	3	Griffin
Tyris	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Rion	10	20	Pikeman	1	1	FirstAidTent	2	3	Griffin
Adela	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Cuthbert	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Adelaide	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Ingham	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Sanya	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Loynis	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Caitlin	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Mephala	12	24	Centaur	3	5	Dwarf	2	4	WoodElf
Ufretin	3	5	Dwarf	3	5	Dwarf	3	5	Dwarf
Jenova	12	24	Centaur	3	5	Dwarf	2	4	WoodElf
Ryland	12	24	Centaur	3	5	Dwarf	2	4	WoodElf
Thorgrim	12	24	Centaur	3	5	Dwarf	2	4	WoodElf
Ivor	12	24	Centaur	2	4	WoodElf	2	4	WoodElf
Clancy	12	24	Centaur	3	5	Dwarf	2	4	WoodElf
Kyrre	12	24	Centaur	3	5	Dwarf	2	4	WoodElf
Coronius	12	24	Centaur	3	5	Dwarf	2	4	WoodElf
Uland	12	24	Centaur	3	5	Dwarf	2	4	WoodElf
Elleshar	12	24	Centaur	3	5	Dwarf	2	4	WoodElf
Gem	12	24	Centaur	1	1	FirstAidTent	2	4	WoodElf
Malcom	12	24	Centaur	3	5	Dwarf	2	4	WoodElf
Melodia	12	24	Centaur	3	5	Dwarf	2	4	WoodElf
Alagar	12	24	Centaur	3	5	Dwarf	2	4	WoodElf
Aeris	12	24	Centaur	3	5	Dwarf	2	4	WoodElf
Piquedram	5	7	StoneGargoyle	5	7	StoneGargoyle	5	7	StoneGargoyle
Thane	30	40	ApprenticeGremlin	5	7	StoneGargoyle	4	5	IronGolem
Josephine	30	40	ApprenticeGremlin	4	5	IronGolem	4	5	IronGolem
Neela	30	40	ApprenticeGremlin	5	7	StoneGargoyle	4	5	IronGolem
Torosar 	30	40	ApprenticeGremlin	1	1	Ballista	4	5	IronGolem
Fafner	30	40	ApprenticeGremlin	5	7	StoneGargoyle	4	5	IronGolem
Rissa	30	40	ApprenticeGremlin	5	7	StoneGargoyle	4	5	IronGolem
Iona	30	40	ApprenticeGremlin	5	7	StoneGargoyle	4	5	IronGolem
Astral	30	40	ApprenticeGremlin	5	7	StoneGargoyle	4	5	IronGolem
Halon	30	40	ApprenticeGremlin	5	7	StoneGargoyle	4	5	IronGolem
Serena	30	40	ApprenticeGremlin	5	7	StoneGargoyle	4	5	IronGolem
Daremyth	30	40	ApprenticeGremlin	5	7	StoneGargoyle	4	5	IronGolem
Theodorus	30	40	ApprenticeGremlin	5	7	StoneGargoyle	4	5	IronGolem
Solmyr	30	40	ApprenticeGremlin	5	7	StoneGargoyle	4	5	IronGolem
Cyra	30	40	ApprenticeGremlin	5	7	StoneGargoyle	4	5	IronGolem
Aine	30	40	ApprenticeGremlin	5	7	StoneGargoyle	4	5	IronGolem
Fiona	20	30	Imp	3	4	HellHound	3	4	HellHound
