			School				Cost				Effect					% Chance to gain									AI value				Right Click Text				
Name	Abbreviated Name	Level	Earth	Water	Fire	Air	None	Basic	Advanced	Expert	Power 	None	Basic	Advanced	Expert	Castle	Rampart	Tower	Inferno	Necropolis	Dungeon	Stronghold	Fortress	Conflux	None	Basic	Advanced	Expert	Normal	Basic	Advanced	Expert	Attributes (reference only, do not change)
																																	
Adventure Spells																																	
																																	
Summon Boat	Summon Boat	1	 	x	 	 	8	7	7	7	0	50	50	75	100	3	5	5	5	3	5	5	3	3	10	10	20	20	"{Summon Boat}

Summons an existing, neutral or own, unoccupied boat from anywhere in the world to your location.

Chances for success are 50%.
"	"{Basic Summon Boat}

Summons an existing, neutral or own, unoccupied boat from anywhere in the world to your location.

Chances for success are 50%.
"	"{Advanced Summon Boat}

Summons an existing, neutral or own, unoccupied boat from anywhere in the world to your location.  If no such boats exist, one is created.

Chances for success are 75%.
"	"{Expert Summon Boat}

Summons an existing, neutral or own, unoccupied boat from anywhere in the world to your location.  If no such boats exist, one is created.
"	 ADV_SPELL
Scuttle Boat	Scuttle Boat	2	 	x	 	 	8	6	6	6	0	50	50	75	100	6	4	4	4	4	4	4	4	4	1	1	1	1	"{Scuttle Boat}

Destroys a boat of caster's choice in hero visibility zone.  Use with caution, the effects are permanent.

Chances for success are 50%.
"	"{Basic Scuttle Boat}

Destroys a boat of caster's choice in hero visibility zone.  Use with caution, the effects are permanent.

Chances for success are 50%.
"	"{Advanced Scuttle Boat}

Destroys a boat of caster's choice in hero visibility zone.  Use with caution, the effects are permanent.

Chances for success are 75%.
"	"{Expert Scuttle Boat}

Destroys a boat of caster's choice in hero visibility zone.  Use with caution, the effects are permanent.
"	 ADV_SPELL
Visions	Visions	2	x	x	x	x	4	2	2	2	0	1	1	2	3	2	2	2	4	2	2	2	2	2	1	1	1	1	"{Visions}

Provides you with exact numbers of wandering monsters and tells you if they would be willing to join your hero, flee or be acquired via Diplomacy skill (exact fee will be revealed). Range is equal to Spell Power or three, whichever is greater. Valid for 1 turn.
"	"{Basic Visions}

Provides you with exact numbers of wandering monsters and tells you if they would be willing to join your hero, flee or be acquired via Diplomacy skill (exact fee will be revealed). Range is equal to Spell Power or three, whichever is greater. Valid for 1 turn.
"	"{Advanced Visions}

Provides you with exact numbers of wandering monsters and tells you if they would be willing to join your hero, flee or be acquired via Diplomacy skill (exact fee will be revealed).  Allows you to view a nearby enemy hero's general statistics, creature type and quantity, as if the hero was part of your kingdom. Range is (Spell Power x 2) or three, whichever is greater. Valid for 1 turn.
"	"{Expert Visions}

Provides you with exact numbers of wandering monsters and tells you if they would be willing to join your hero, flee or be acquired via Diplomacy skill (exact fee will be revealed).  Allows you to view a nearby enemy hero's general statistics, creature type and quantity, as if the hero was part of your kingdom, as well as a nearby town's statistics, garrison creatures and quantity. Range is (Spell Power x 3) or three, whichever is greater. Valid for 1 turn.
"	 ADV_SPELL
View Earth	View Earth	1	x				2	1	1	1	0	0	0	0	0	3	3	3	3	3	3	3	3	3	1	1	1	1	"{View Earth}

Reveals the location of all resources to the caster.
"	"{Basic View Earth}

Reveals the location of all resources to the caster.
"	"{Advanced View Earth}

Reveals the location of all resources and mines to the caster.
"	"{Expert View Earth}

Reveals the location of all resources and mines and reveals all terrain to the caster.
"	 ADV_SPELL
Disguise	Disguise	2	 	 	 	x	4	2	2	2	0	0	0	0	0	2	2	2	4	2	2	2	0	2	1	1	1	1	"{Disguise}

Makes all units in your hero army look like your most powerful unit to enemies trying to view your hero for 1 turn.  Numbers in each group are unchanged.
"	"{Basic Disguise}

Makes all units in your hero army look like your most powerful unit to enemies trying to view your hero for 1 turn.  Numbers in each group are unchanged.
"	"{Advanced Disguise}

Makes all units in your hero army look like your most powerful unit to enemies trying to view your hero for 1 turn.  Numbers in each group appear as zero.
"	"{Expert Disguise}

Makes all units in your hero army look like the most powerful unit affiliated to player starting town to enemies trying to view your hero for 1 turn.  Numbers in each group appear as zero.
"	 ADV_SPELL
View Air	View Air	1				x	2	1	1	1	0	0	0	0	0	3	3	3	3	3	3	3	3	3	1	1	1	1	"{View Air}

Reveals the location of all unclaimed artifacts to the caster.
"	"{Basic View Air}

Reveals the location of all unclaimed artifacts to the caster.
"	"{Advanced View Air}

Reveals the location of all unclaimed artifacts, plus enemy heroes to the caster.
"	"{Expert View Air}

Reveals the location of all unclaimed artifacts, plus enemy heroes and all towns to the caster.
"	 ADV_SPELL
