	Description		
Name	Basic	Advanced	Expert
Pathfinding	"{Basic Pathfinding}

Basic Pathfinding reduces the movement penalty for rough terrain by 25%."	"{Advanced Pathfinding}

Advanced Pathfinding reduces the movement penalty for rough terrain by 50%."	"{Expert Pathfinding}

Expert Pathfinding reduces the movement penalty for rough terrain by 75%."
Archery	"{Basic Archery}

Basic Archery increases the damage done by range attacking creatures by 10%."	"{Advanced Archery}

Advanced Archery increases the damage done by range attacking creatures by 25%."	"{Expert Archery}

Expert Archery increases the damage done by range attacking creatures by 50%."
Logistics	"{Basic Logistics}

Basic Logistics increases your hero's movement points over land by 5%."	"{Advanced Logistics}

Advanced Logistics increases your hero's movement points over land by 10%."	"{Expert Logistics}

Expert Logistics increases your hero's movement points over land by 20%."
Scouting	"{Basic Scouting}

Basic Scouting allows your hero to see 1 square further into the shroud."	"{Advanced Scouting}

Advanced Scouting allows your hero to see 3 squares further into the shroud."	"{Expert Scouting}

Expert Scouting allows your hero to see 5 squares further into the shroud."
Diplomacy	"{Basic Diplomacy}

Basic Diplomacy allows you to negotiate with monsters who are weaker than your group, and reduces the cost of surrendering by 20%."	"{Advanced Diplomacy}

Advanced Diplomacy allows you to negotiate with monsters who are weaker than your group, and reduces the cost of surrendering by 40%."	"{Expert Diplomacy}

Expert Diplomacy allows you to negotiate with monsters who are weaker than your group, and reduces the cost of surrendering by 60%."
Navigation	"{Basic Navigation}

Basic Navigation increases your hero's movement points at sea by 50%."	"{Advanced Navigation}

Advanced Navigation doubles your hero's movement points at sea."	"{Expert Navigation}

Expert Navigation increases your hero's movement points at sea by 150%."
Leadership	"{Basic Leadership}

Basic Leadership increases your hero's troops' morale by 1."	"{Advanced Leadership}

Advanced Leadership increases your hero's troops' morale by 2."	"{Expert Leadership}

Expert Leadership increases your hero's troops' morale by 3."
Wisdom	"{Basic Wisdom}

Basic Wisdom allows your hero to learn third level spells."	"{Advanced Wisdom}

Advanced Wisdom allows your hero to learn fourth level spells."	"{Expert Wisdom}

Expert Wisdom allows your hero to learn fifth level spells."
Mysticism	"{Basic Mysticism}

Basic Mysticism allows your hero to regenerate 5 spell points per day."	"{Advanced Mysticism}

Advanced Mysticism allows your hero to regenerate 10 spell points per day."	"{Expert Mysticism}

Expert Mysticism allows your hero to regenerate 15 spell points per day."
