	Seer Hut Variant 1	Seer Hut Variant 2	Seer Hut Variant 3	Quest Guard Variant 1	Quest Guard Variant 2	Quest Guard Variant 3	Quest Gate Variant 1	Quest Gate Variant 2	Quest Gate Variant 3
Seer Empty Text	This should be the home of %s the Seer, but it appears to have been abandoned for quite some time.	The locals said this was the home of %s, but there is clearly no one here.	You're convinced this was the home of %s, but it is clear it has been deserted for some time.	Time has run out.  You will never pass here.	Time has run out.  You will never pass here.	Time has run out.  You will never pass here.	Time has run out.  The gate is closed forever.	Time has run out.  The gate is closed forever.	Time has run out.  The gate is closed forever.
Experience level quest	I am old and wise, and I do not admit just anyone into my home.  You may enter when you have reached experience level %d.	The reward I have is only for someone who is wise enough to handle it.  Achieve experience level %d and I will reward you.	I am old, and dying.  Before I die I want to bequeath my possessions to someone worthy of them.  Achieve level %d and I will know of your worth.	The lands beyond are very dangerous.  The guards eye you dubiously, but agree to let you by when you have achieved the experience level %d.	I am sorry, but this is a guildhouse, and only those who are experienced enough can join.  Only those who are part of the guildhouse may pass.  Until you reach level %d, you may not join.	We have a problem with our King.  He doesn't like to be surrounded by immature people.  Therefore you need to be of %d level in order to pass through.  	Beyond this gate lie lands of which very little is known. The guards were posted up here to keep out poorly trained adventurers. Reach level %d to be allowed to pass.	Beyond this gate there are hunting grounds inhabited by very dangerous beasts. Until you reach level %d, we won't let you through.	You read the inscription: "Only a truly powerful hero can open this gate. For the locks to open, reach level %d."
Experience quest progress	Faugh.  You again.  Come back when you are level %d, as I told you.	Not even close to level %d, leave me until you are there!	You are unworthy.  Only someone who is level %d will be worthy enough.	The guards here simply will not permit anyone below level %d to pass.	There is no way we're going to let a wimp like you into our guild.  Not until you are %d level can you join.	Only when you are level %d will our King stand for your presence.	The guards here simply will not permit anyone below level %d to pass.	A wimp like you will get eaten by wild beast beyond the gate in no time. Come back when you've reached level %d.	The locks will only open when you've reached level %d.
Experience quest complete	I thought you had promise.  You have indeed reached level %d. Come in, come in.  Here, I have something to reward you for your efforts.  Do you accept?	Ahhh, you have reached level %d.  Would you like to receive a reward?	Finally, there is someone to whom I can bequeath my worldly possessions, now that you have achieved level %d do you wish to inherit?	The guards acknowledge that you have indeed reached level %d.  Do you wish to pass at this time?	Now that you have reached %d level you may join our guild.  Membership is free.  Do you wish to pass at this time?	Excellent!  Now that you are %d level our King will not have any problems with you.  Do you wish to pass at this time?	The guards acknowledge that you have indeed reached level %d.  Do you wish to pass at this time?	Now that you've reached %d, we can let you through to the hunting grounds. Would you like to pass right now?	You have reached level %d, and now the gate will open for you. Would you like to pass right now?
Experience quest rollover	(reach level %d)	(reach level %d)	(reach level %d)	(reach level %d)	(reach level %d)	(reach level %d)	(reach level %d)	(reach level %d)	(reach level %d)
Experience quest log	Reach level %s and visit %s	Reach level %s and visit %s	Reach level %s and visit %s	Reach level %s to open gate	Reach level %s to open gate	Reach level %s to open gate	Reach level %s to go through the gate	Reach level %s to go through the gate	Reach level %s to go through the gate
Skill level quest	I am a biographer of great heroes.  I'd really like to meet a hero who has mastered %s.  I'd pay well for his story.	For those who have attained %s there are great rewards.  When you are finished return to me and I will see what can be done.	I am not likely to speak with anyone who is lesser than myself.  If you have %s then you will be better than I, and worthy of my attentions	The guard post here is manned by retired heroes.  They will not let you pass until you can prove you have mastered %s.	Only those who have reached %s are allowed to pass.  Our reasons are our own.	A fair maiden languishes within the tower and only allows those who impress her to pass through.  You would need a %s in order to impress her.	The captain of the local guard is takes the training of his soldiers very seriously. He wants them to have a lecture on %s and is looking for a mentor who can teach them. He's not going to let anyone else through.	Only those who have reached %s are allowed to pass.  Our reasons are our own.	As you approach the gate, you hear a voice coming out of nowhere. It says, "A master of %s, we wish to see." All attempts to open the gate on your own are futile.
Skill quest progress	Have you found a great hero for me to interview?  He must have reached %s.	I am truly sorry, but you have not attained %s and I will not help you until then.	You are still unworthy.  Only someone with %s will be better than I.	The retired heroes set you a series of tests, which you fail miserably.  Clearly you have not mastered %s.	You have not reached %s, go away.	She laughs because you have not yet reached %s, and are not impressive.	The captain demands that you demonstrate your mastery of sciences, but you cannot satisfy him. Obviously, you're not yet proficient in %s.	You have not reached %s, go away.	You decide to try your luck again, although you have not mastered %s. The gate is still locked and you can hear giggling coming from somewhere.
Skill quest complete	I've always wanted to meet someone as famous as you.  Will you let me write down your life story?	You have reached %s, as I knew you would.  Are you ready to see the great rewards as a result?	It is a great thing to meet someone better than I.  You have achieved %s, will you accept the rewards of doing so?	The retired heroes set you a series of tests, which you pass easily, demonstrating your mastery of %s.  Do you wish to pass?	You have reached %s.  Do you wish to pass?	She is very impressed by you because you have reached %s.  Do you wish to pass now?	You proved to be a good mentor and lectured the soldiers on %s. Now the captain agrees to let you through - do you want to pass?	You have reached %s.  Do you wish to pass?	The voice is initially solemn, but gradually grows irritated: "Surprise us, you managed. Such skill as %s, you mastered. Is there anything those heroes won't do to sneak through to where no one wants them?"
Skill quest rollover	(requires %s)	( requires %s )	( requires %s )	( requires %s )	( requires %s )	( requires %s )	( requires %s )	( requires %s )	( requires %s )
