Name		Cost									
Singular	Plural	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Fight Value	AI Value	Growth
Pikeman	Pikemen	0	0	0	0	0	0	60	100	80	14
Halberdier	Halberdiers	0	0	0	0	0	0	75	115	115	14
Archer	Archers	0	0	0	0	0	0	100	115	126	9
Marksman	Marksmen	0	0	0	0	0	0	150	115	184	9
Griffin	Griffins	0	0	0	0	0	0	200	324	351	7
Royal Griffin	Royal Griffins	0	0	0	0	0	0	240	364	448	7
Swordsman	Swordsmen	0	0	0	0	0	0	300	445	445	4
Crusader	Crusaders	0	0	0	0	0	0	400	588	588	4
Monk	Monks	0	0	0	0	0	0	400	485	582	3
Zealot	Zealots	0	0	0	0	0	0	450	500	750	3
Cavalier	Cavaliers	0	0	0	0	0	0	1000	1668	1946	2
Champion	Champions	0	0	0	0	0	0	1200	1800	2100	2
Angel	Angels	0	0	0	0	0	1	3000	3585	5019	1
Archangel	Archangels	0	0	0	0	0	3	5000	6033	8776	1
											
											
											
Centaur	Centaurs	0	0	0	0	0	0	70	100	100	14
Centaur Captain	Centaur Captains	0	0	0	0	0	0	90	115	138	14
Dwarf	Dwarves	0	0	0	0	0	0	120	194	138	8
Battle Dwarf	Battle Dwarves	0	0	0	0	0	0	150	209	209	8
Wood Elf	Wood Elves	0	0	0	0	0	0	200	195	234	7
Grand Elf	Grand Elves	0	0	0	0	0	0	225	195	331	7
Pegasus	Pegasi	0	0	0	0	0	0	250	407	518	5
Silver Pegasus	Silver Pegasi	0	0	0	0	0	0	275	418	532	5
Dendroid Guard	Dendroid Guards	0	0	0	0	0	0	350	690	517	3
Dendroid Soldier	Dendroid Soldiers	0	0	0	0	0	0	425	765	803	3
Unicorn	Unicorns	0	0	0	0	0	0	850	1548	1806	2
War Unicorn	War Unicorns	0	0	0	0	0	0	950	1740	2030	2
Green Dragon	Green Dragons	0	0	0	0	1	0	2400	3654	4872	1
Gold Dragon	Gold Dragons	0	0	0	0	2	0	4000	6220	8613	1
											
											
											
Gremlin	Gremlins	0	0	0	0	0	0	30	55	44	16
Master Gremlin	Master Gremlins	0	0	0	0	0	0	40	55	66	16
